"","date","variable","value"
"210",1984-12-01,"psavert",11.2
"211",1985-01-01,"psavert",10.3
"212",1985-02-01,"psavert",9.1
"213",1985-03-01,"psavert",8.7
"214",1985-04-01,"psavert",9.9
"215",1985-05-01,"psavert",11.1
"216",1985-06-01,"psavert",9.6
"217",1985-07-01,"psavert",9.1
"218",1985-08-01,"psavert",8.2
"219",1985-09-01,"psavert",7.3
"220",1985-10-01,"psavert",9.1
"221",1985-11-01,"psavert",9
"222",1985-12-01,"psavert",8.6
"223",1986-01-01,"psavert",8.6
"224",1986-02-01,"psavert",9.3
"225",1986-03-01,"psavert",9.9
"226",1986-04-01,"psavert",9.7
"227",1986-05-01,"psavert",9.3
"228",1986-06-01,"psavert",9.4
"229",1986-07-01,"psavert",9.3
"230",1986-08-01,"psavert",9
"231",1986-09-01,"psavert",7.2
"232",1986-10-01,"psavert",8.4
"233",1986-11-01,"psavert",8.8
"234",1986-12-01,"psavert",7
"235",1987-01-01,"psavert",9.7
"236",1987-02-01,"psavert",8.5
"237",1987-03-01,"psavert",8.5
"238",1987-04-01,"psavert",4.5
"239",1987-05-01,"psavert",8.2
"240",1987-06-01,"psavert",7.7
"241",1987-07-01,"psavert",7.5
"242",1987-08-01,"psavert",7.2
"243",1987-09-01,"psavert",7.6
"244",1987-10-01,"psavert",8.3
"245",1987-11-01,"psavert",8.5
"246",1987-12-01,"psavert",8.7
"247",1988-01-01,"psavert",8.1
"248",1988-02-01,"psavert",8.6
"249",1988-03-01,"psavert",8.2
"250",1988-04-01,"psavert",8.8
"251",1988-05-01,"psavert",8.4
"252",1988-06-01,"psavert",8.4
"253",1988-07-01,"psavert",8.6
"254",1988-08-01,"psavert",8.4
"255",1988-09-01,"psavert",8.9
"256",1988-10-01,"psavert",8.6
"257",1988-11-01,"psavert",8.4
"258",1988-12-01,"psavert",8.3
"259",1989-01-01,"psavert",8.5
"260",1989-02-01,"psavert",9
"261",1989-03-01,"psavert",9.5
"262",1989-04-01,"psavert",8.4
"263",1989-05-01,"psavert",8.1
"264",1989-06-01,"psavert",8.2
"265",1989-07-01,"psavert",8.2
"266",1989-08-01,"psavert",7.6
"267",1989-09-01,"psavert",8.1
"268",1989-10-01,"psavert",8.5
"269",1989-11-01,"psavert",8.6
"270",1989-12-01,"psavert",7.8
"271",1990-01-01,"psavert",8
"272",1990-02-01,"psavert",8.6
"273",1990-03-01,"psavert",8.3
"274",1990-04-01,"psavert",8.8
"275",1990-05-01,"psavert",8.7
"276",1990-06-01,"psavert",8.6
"277",1990-07-01,"psavert",8.7
"278",1990-08-01,"psavert",8.1
"279",1990-09-01,"psavert",8.1
"280",1990-10-01,"psavert",7.8
"281",1990-11-01,"psavert",7.9
"282",1990-12-01,"psavert",8.8
"283",1991-01-01,"psavert",9.3
"284",1991-02-01,"psavert",8.8
"285",1991-03-01,"psavert",8
"286",1991-04-01,"psavert",8.6
"287",1991-05-01,"psavert",8.4
"288",1991-06-01,"psavert",8.9
"289",1991-07-01,"psavert",8.2
"290",1991-08-01,"psavert",8.6
"291",1991-09-01,"psavert",8.8
"292",1991-10-01,"psavert",9.3
"293",1991-11-01,"psavert",9
"294",1991-12-01,"psavert",9.7
"295",1992-01-01,"psavert",9.4
"296",1992-02-01,"psavert",9.8
"297",1992-03-01,"psavert",9.7
"298",1992-04-01,"psavert",9.9
"299",1992-05-01,"psavert",9.9
"300",1992-06-01,"psavert",10.1
"301",1992-07-01,"psavert",9.6
"302",1992-08-01,"psavert",9.7
"303",1992-09-01,"psavert",8.7
"304",1992-10-01,"psavert",8
"305",1992-11-01,"psavert",8
"306",1992-12-01,"psavert",10.6
"307",1993-01-01,"psavert",8.6
"308",1993-02-01,"psavert",8.9
"309",1993-03-01,"psavert",8.9
"310",1993-04-01,"psavert",8.7
"311",1993-05-01,"psavert",8.3
"312",1993-06-01,"psavert",7.8
"313",1993-07-01,"psavert",7.6
"314",1993-08-01,"psavert",7.7
"315",1993-09-01,"psavert",6.9
"316",1993-10-01,"psavert",6.3
"317",1993-11-01,"psavert",6.3
"318",1993-12-01,"psavert",9.1
"319",1994-01-01,"psavert",7.1
"320",1994-02-01,"psavert",6.5
"321",1994-03-01,"psavert",6.8
"322",1994-04-01,"psavert",6.4
"323",1994-05-01,"psavert",7.6
"324",1994-06-01,"psavert",6.9
"325",1994-07-01,"psavert",7
"326",1994-08-01,"psavert",6.5
"327",1994-09-01,"psavert",6.8
"328",1994-10-01,"psavert",7.1
"329",1994-11-01,"psavert",7
"330",1994-12-01,"psavert",7.2
"331",1995-01-01,"psavert",7.5
"332",1995-02-01,"psavert",7.8
"333",1995-03-01,"psavert",7.5
"334",1995-04-01,"psavert",6.9
"335",1995-05-01,"psavert",7.1
"336",1995-06-01,"psavert",6.7
"337",1995-07-01,"psavert",7.1
"338",1995-08-01,"psavert",6.7
"339",1995-09-01,"psavert",6.8
"340",1995-10-01,"psavert",7.1
"341",1995-11-01,"psavert",6.6
"342",1995-12-01,"psavert",6.1
"343",1996-01-01,"psavert",6.7
"344",1996-02-01,"psavert",6.7
"345",1996-03-01,"psavert",6.6
"346",1996-04-01,"psavert",5.7
"347",1996-05-01,"psavert",6.7
"348",1996-06-01,"psavert",7.1
"349",1996-07-01,"psavert",6.7
"350",1996-08-01,"psavert",6.6
"351",1996-09-01,"psavert",6.7
"352",1996-10-01,"psavert",6.4
"353",1996-11-01,"psavert",6.4
"354",1996-12-01,"psavert",6.4
"355",1997-01-01,"psavert",6.2
"356",1997-02-01,"psavert",6.2
"357",1997-03-01,"psavert",6.4
"358",1997-04-01,"psavert",6.5
"359",1997-05-01,"psavert",6.8
"360",1997-06-01,"psavert",6.6
"361",1997-07-01,"psavert",6.1
"362",1997-08-01,"psavert",6
"363",1997-09-01,"psavert",6.2
"364",1997-10-01,"psavert",6.2
"365",1997-11-01,"psavert",6.4
"366",1997-12-01,"psavert",6.4
"367",1998-01-01,"psavert",7.4
"368",1998-02-01,"psavert",7.4
"369",1998-03-01,"psavert",7.5
"370",1998-04-01,"psavert",7.2
"371",1998-05-01,"psavert",6.9
"372",1998-06-01,"psavert",6.8
"373",1998-07-01,"psavert",6.9
"374",1998-08-01,"psavert",6.8
"375",1998-09-01,"psavert",6.4
"376",1998-10-01,"psavert",6.2
"377",1998-11-01,"psavert",6.3
"378",1998-12-01,"psavert",5.8
"379",1999-01-01,"psavert",6.4
"380",1999-02-01,"psavert",6.2
"381",1999-03-01,"psavert",5.9
"382",1999-04-01,"psavert",5.2
"383",1999-05-01,"psavert",4.9
"384",1999-06-01,"psavert",4.8
"385",1999-07-01,"psavert",4.8
"386",1999-08-01,"psavert",4.7
"387",1999-09-01,"psavert",4.2
"388",1999-10-01,"psavert",4.6
"389",1999-11-01,"psavert",4.8
"390",1999-12-01,"psavert",4.4
"391",2000-01-01,"psavert",5.4
"392",2000-02-01,"psavert",4.8
"393",2000-03-01,"psavert",4.5
"394",2000-04-01,"psavert",5
"395",2000-05-01,"psavert",4.9
"396",2000-06-01,"psavert",4.9
"397",2000-07-01,"psavert",5.2
"398",2000-08-01,"psavert",5.2
"399",2000-09-01,"psavert",4.5
"400",2000-10-01,"psavert",4.6
"401",2000-11-01,"psavert",4.5
"402",2000-12-01,"psavert",4.2
"403",2001-01-01,"psavert",4.8
"404",2001-02-01,"psavert",4.9
"405",2001-03-01,"psavert",5.3
"406",2001-04-01,"psavert",5
"407",2001-05-01,"psavert",4.5
"408",2001-06-01,"psavert",4.5
"409",2001-07-01,"psavert",5.6
"410",2001-08-01,"psavert",6.8
"411",2001-09-01,"psavert",7
"412",2001-10-01,"psavert",3.4
"413",2001-11-01,"psavert",4.1
"414",2001-12-01,"psavert",4.5
"415",2002-01-01,"psavert",6.1
"416",2002-02-01,"psavert",5.8
"417",2002-03-01,"psavert",5.9
"418",2002-04-01,"psavert",5.8
"419",2002-05-01,"psavert",6.5
"420",2002-06-01,"psavert",6.4
"421",2002-07-01,"psavert",5.5
"422",2002-08-01,"psavert",5.4
"423",2002-09-01,"psavert",5.7
"424",2002-10-01,"psavert",5.7
"425",2002-11-01,"psavert",5.7
"426",2002-12-01,"psavert",5.5
"427",2003-01-01,"psavert",5.5
"428",2003-02-01,"psavert",5.6
"429",2003-03-01,"psavert",5.3
"430",2003-04-01,"psavert",5.3
"431",2003-05-01,"psavert",5.8
"432",2003-06-01,"psavert",5.6
"433",2003-07-01,"psavert",6.3
"434",2003-08-01,"psavert",6
"435",2003-09-01,"psavert",5.2
"436",2003-10-01,"psavert",5.3
"437",2003-11-01,"psavert",5.4
"438",2003-12-01,"psavert",5.4
"439",2004-01-01,"psavert",5
"440",2004-02-01,"psavert",5
"441",2004-03-01,"psavert",4.9
"442",2004-04-01,"psavert",5.3
"443",2004-05-01,"psavert",5.3
"444",2004-06-01,"psavert",5.8
"445",2004-07-01,"psavert",5.3
"446",2004-08-01,"psavert",5.2
"447",2004-09-01,"psavert",4.6
"448",2004-10-01,"psavert",4.5
"449",2004-11-01,"psavert",4.1
"450",2004-12-01,"psavert",6.9
"451",2005-01-01,"psavert",3.7
"452",2005-02-01,"psavert",3.4
"453",2005-03-01,"psavert",3.6
"454",2005-04-01,"psavert",3.1
"455",2005-05-01,"psavert",3.5
"456",2005-06-01,"psavert",2.9
"457",2005-07-01,"psavert",2.2
"458",2005-08-01,"psavert",2.7
"459",2005-09-01,"psavert",2.7
"460",2005-10-01,"psavert",3.1
"461",2005-11-01,"psavert",3.5
"462",2005-12-01,"psavert",3.7
"463",2006-01-01,"psavert",4.2
"464",2006-02-01,"psavert",4.2
"465",2006-03-01,"psavert",4.2
"466",2006-04-01,"psavert",4
"467",2006-05-01,"psavert",3.8
"468",2006-06-01,"psavert",4
"469",2006-07-01,"psavert",3.4
"470",2006-08-01,"psavert",3.6
"471",2006-09-01,"psavert",3.6
"472",2006-10-01,"psavert",3.6
"473",2006-11-01,"psavert",3.9
"474",2006-12-01,"psavert",3.7
"475",2007-01-01,"psavert",3.7
"476",2007-02-01,"psavert",4.1
"477",2007-03-01,"psavert",4.4
"478",2007-04-01,"psavert",4.2
"479",2007-05-01,"psavert",4
"480",2007-06-01,"psavert",3.8
"481",2007-07-01,"psavert",3.7
"482",2007-08-01,"psavert",3.4
"483",2007-09-01,"psavert",3.5
"484",2007-10-01,"psavert",3.4
"485",2007-11-01,"psavert",3.1
"486",2007-12-01,"psavert",3.6
"487",2008-01-01,"psavert",3.7
"488",2008-02-01,"psavert",4.1
"489",2008-03-01,"psavert",4
"490",2008-04-01,"psavert",3.4
"491",2008-05-01,"psavert",7.8
"492",2008-06-01,"psavert",5.5
"493",2008-07-01,"psavert",4.4
"494",2008-08-01,"psavert",3.8
"495",2008-09-01,"psavert",4.7
"496",2008-10-01,"psavert",5.5
"497",2008-11-01,"psavert",6.4
"498",2008-12-01,"psavert",6.4
"499",2009-01-01,"psavert",6.2
"500",2009-02-01,"psavert",5.5
"501",2009-03-01,"psavert",5.9
"502",2009-04-01,"psavert",6.8
"503",2009-05-01,"psavert",8.2
"504",2009-06-01,"psavert",6.7
"505",2009-07-01,"psavert",6
"506",2009-08-01,"psavert",4.9
"507",2009-09-01,"psavert",5.9
"508",2009-10-01,"psavert",5.4
"509",2009-11-01,"psavert",5.9
"510",2009-12-01,"psavert",5.9
"511",2010-01-01,"psavert",6.1
"512",2010-02-01,"psavert",5.8
"513",2010-03-01,"psavert",5.7
"514",2010-04-01,"psavert",6.4
"515",2010-05-01,"psavert",7
"516",2010-06-01,"psavert",6.9
"517",2010-07-01,"psavert",6.8
"518",2010-08-01,"psavert",6.9
"519",2010-09-01,"psavert",6.7
"520",2010-10-01,"psavert",6.6
"521",2010-11-01,"psavert",6.6
"522",2010-12-01,"psavert",7.1
"523",2011-01-01,"psavert",7.4
"524",2011-02-01,"psavert",7.6
"525",2011-03-01,"psavert",7
"526",2011-04-01,"psavert",6.9
"527",2011-05-01,"psavert",6.9
"528",2011-06-01,"psavert",7.2
"529",2011-07-01,"psavert",7.3
"530",2011-08-01,"psavert",7.2
"531",2011-09-01,"psavert",6.8
"532",2011-10-01,"psavert",6.8
"533",2011-11-01,"psavert",7
"534",2011-12-01,"psavert",7.8
"535",2012-01-01,"psavert",8
"536",2012-02-01,"psavert",8
"537",2012-03-01,"psavert",8.5
"538",2012-04-01,"psavert",8.7
"539",2012-05-01,"psavert",8.8
"540",2012-06-01,"psavert",9.1
"541",2012-07-01,"psavert",8.2
"542",2012-08-01,"psavert",8
"543",2012-09-01,"psavert",8.2
"544",2012-10-01,"psavert",8.8
"545",2012-11-01,"psavert",9.7
"546",2012-12-01,"psavert",12
"547",2013-01-01,"psavert",6.3
"548",2013-02-01,"psavert",5.8
"549",2013-03-01,"psavert",5.9
"550",2013-04-01,"psavert",6.4
"551",2013-05-01,"psavert",6.7
"552",2013-06-01,"psavert",6.8
"553",2013-07-01,"psavert",6.6
"554",2013-08-01,"psavert",6.7
"555",2013-09-01,"psavert",6.8
"556",2013-10-01,"psavert",6.3
"557",2013-11-01,"psavert",6.2
"558",2013-12-01,"psavert",6.4
"559",2014-01-01,"psavert",7.1
"560",2014-02-01,"psavert",7.3
"561",2014-03-01,"psavert",7.4
"562",2014-04-01,"psavert",7.4
"563",2014-05-01,"psavert",7.4
"564",2014-06-01,"psavert",7.4
"565",2014-07-01,"psavert",7.5
"566",2014-08-01,"psavert",7.2
"567",2014-09-01,"psavert",7.4
"568",2014-10-01,"psavert",7.2
"569",2014-11-01,"psavert",7.3
"570",2014-12-01,"psavert",7.6
"571",2015-01-01,"psavert",7.7
"572",2015-02-01,"psavert",7.9
"573",2015-03-01,"psavert",7.4
"574",2015-04-01,"psavert",7.6
"575",1967-07-01,"uempmed",4.5
"576",1967-08-01,"uempmed",4.7
"577",1967-09-01,"uempmed",4.6
"578",1967-10-01,"uempmed",4.9
"579",1967-11-01,"uempmed",4.7
"580",1967-12-01,"uempmed",4.8
"581",1968-01-01,"uempmed",5.1
"582",1968-02-01,"uempmed",4.5
"583",1968-03-01,"uempmed",4.1
"584",1968-04-01,"uempmed",4.6
"585",1968-05-01,"uempmed",4.4
"586",1968-06-01,"uempmed",4.4
"587",1968-07-01,"uempmed",4.5
"588",1968-08-01,"uempmed",4.2
"589",1968-09-01,"uempmed",4.6
"590",1968-10-01,"uempmed",4.8
"591",1968-11-01,"uempmed",4.4
"592",1968-12-01,"uempmed",4.4
"593",1969-01-01,"uempmed",4.4
"594",1969-02-01,"uempmed",4.9
"595",1969-03-01,"uempmed",4
"596",1969-04-01,"uempmed",4
"597",1969-05-01,"uempmed",4.2
"598",1969-06-01,"uempmed",4.4
"599",1969-07-01,"uempmed",4.4
"600",1969-08-01,"uempmed",4.4
"601",1969-09-01,"uempmed",4.7
"602",1969-10-01,"uempmed",4.5
"603",1969-11-01,"uempmed",4.8
"604",1969-12-01,"uempmed",4.6
"605",1970-01-01,"uempmed",4.6
"606",1970-02-01,"uempmed",4.5
"607",1970-03-01,"uempmed",4.6
"608",1970-04-01,"uempmed",4.1
"609",1970-05-01,"uempmed",4.7
"610",1970-06-01,"uempmed",4.9
"611",1970-07-01,"uempmed",5.1
"612",1970-08-01,"uempmed",5.4
"613",1970-09-01,"uempmed",5.2
"614",1970-10-01,"uempmed",5.2
"615",1970-11-01,"uempmed",5.6
"616",1970-12-01,"uempmed",5.9
"617",1971-01-01,"uempmed",6.2
"618",1971-02-01,"uempmed",6.3
"619",1971-03-01,"uempmed",6.4
"620",1971-04-01,"uempmed",6.5
"621",1971-05-01,"uempmed",6.7
"622",1971-06-01,"uempmed",5.7
"623",1971-07-01,"uempmed",6.2
"624",1971-08-01,"uempmed",6.4
"625",1971-09-01,"uempmed",5.8
"626",1971-10-01,"uempmed",6.5
"627",1971-11-01,"uempmed",6.4
"628",1971-12-01,"uempmed",6.2
"629",1972-01-01,"uempmed",6.2
"630",1972-02-01,"uempmed",6.6
"631",1972-03-01,"uempmed",6.6
"632",1972-04-01,"uempmed",6.7
"633",1972-05-01,"uempmed",6.6
"634",1972-06-01,"uempmed",5.4
"635",1972-07-01,"uempmed",6.1
"636",1972-08-01,"uempmed",6
"637",1972-09-01,"uempmed",5.6
"638",1972-10-01,"uempmed",5.7
"639",1972-11-01,"uempmed",5.7
"640",1972-12-01,"uempmed",6.1
"641",1973-01-01,"uempmed",5.7
"642",1973-02-01,"uempmed",5.2
"643",1973-03-01,"uempmed",5.5
"644",1973-04-01,"uempmed",5
"645",1973-05-01,"uempmed",4.9
"646",1973-06-01,"uempmed",5
"647",1973-07-01,"uempmed",5.2
"648",1973-08-01,"uempmed",4.9
"649",1973-09-01,"uempmed",5.4
"650",1973-10-01,"uempmed",5.5
"651",1973-11-01,"uempmed",5.1
"652",1973-12-01,"uempmed",4.7
"653",1974-01-01,"uempmed",5
"654",1974-02-01,"uempmed",5.1
"655",1974-03-01,"uempmed",4.8
"656",1974-04-01,"uempmed",5
"657",1974-05-01,"uempmed",4.6
"658",1974-06-01,"uempmed",5.3
"659",1974-07-01,"uempmed",5.7
"660",1974-08-01,"uempmed",5
"661",1974-09-01,"uempmed",5.3
"662",1974-10-01,"uempmed",5.5
"663",1974-11-01,"uempmed",5.2
"664",1974-12-01,"uempmed",5.7
"665",1975-01-01,"uempmed",6.3
"666",1975-02-01,"uempmed",7.1
"667",1975-03-01,"uempmed",7.2
"668",1975-04-01,"uempmed",8.7
"669",1975-05-01,"uempmed",9.4
"670",1975-06-01,"uempmed",8.8
"671",1975-07-01,"uempmed",8.6
"672",1975-08-01,"uempmed",9.2
"673",1975-09-01,"uempmed",9.2
"674",1975-10-01,"uempmed",8.6
"675",1975-11-01,"uempmed",9.5
"676",1975-12-01,"uempmed",9
"677",1976-01-01,"uempmed",9
"678",1976-02-01,"uempmed",8.2
"679",1976-03-01,"uempmed",8.7
"680",1976-04-01,"uempmed",8.2
"681",1976-05-01,"uempmed",8.3
"682",1976-06-01,"uempmed",7.8
"683",1976-07-01,"uempmed",7.7
"684",1976-08-01,"uempmed",7.9
"685",1976-09-01,"uempmed",7.8
"686",1976-10-01,"uempmed",7.7
"687",1976-11-01,"uempmed",8.4
"688",1976-12-01,"uempmed",8
"689",1977-01-01,"uempmed",7.5
"690",1977-02-01,"uempmed",7.2
"691",1977-03-01,"uempmed",7.2
"692",1977-04-01,"uempmed",7.3
"693",1977-05-01,"uempmed",7.9
"694",1977-06-01,"uempmed",6.2
"695",1977-07-01,"uempmed",7.1
"696",1977-08-01,"uempmed",7
"697",1977-09-01,"uempmed",6.7
"698",1977-10-01,"uempmed",6.9
"699",1977-11-01,"uempmed",7
"700",1977-12-01,"uempmed",6.8
"701",1978-01-01,"uempmed",6.5
"702",1978-02-01,"uempmed",6.7
"703",1978-03-01,"uempmed",6.2
"704",1978-04-01,"uempmed",6.1
"705",1978-05-01,"uempmed",5.7
"706",1978-06-01,"uempmed",6
"707",1978-07-01,"uempmed",5.8
"708",1978-08-01,"uempmed",5.8
"709",1978-09-01,"uempmed",5.6
"710",1978-10-01,"uempmed",5.9
"711",1978-11-01,"uempmed",5.5
"712",1978-12-01,"uempmed",5.6
"713",1979-01-01,"uempmed",5.9
"714",1979-02-01,"uempmed",5.9
"715",1979-03-01,"uempmed",5.9
"716",1979-04-01,"uempmed",5.4
"717",1979-05-01,"uempmed",5.6
"718",1979-06-01,"uempmed",5.6
"719",1979-07-01,"uempmed",5.9
"720",1979-08-01,"uempmed",4.8
"721",1979-09-01,"uempmed",5.5
"722",1979-10-01,"uempmed",5.5
"723",1979-11-01,"uempmed",5.3
"724",1979-12-01,"uempmed",5.7
"725",1980-01-01,"uempmed",5.3
"726",1980-02-01,"uempmed",5.8
"727",1980-03-01,"uempmed",6
"728",1980-04-01,"uempmed",5.8
"729",1980-05-01,"uempmed",5.7
"730",1980-06-01,"uempmed",6.4
"731",1980-07-01,"uempmed",7
"732",1980-08-01,"uempmed",7.5
"733",1980-09-01,"uempmed",7.7
